1,37,27
0,36,18
0,40,28
1,43,24
0,45,17
1,38,30
1,37,16
1,41,25
1,38,24
1,41,36
1,42,31
0,41,20
1,41,14
1,44,20
0,31,26
0,41,19
1,49,19
1,36,22
1,47,30
1,39,23
1,45,23
1,35,14
0,34,25
0,31,21
0,34,25
1,47,19
1,45,29
0,39,9
1,40,20
0,37,27
1,36,30
1,42,23
1,41,21
0,35,14
1,49,20
0,39,15
1,44,22
1,38,19
1,38,27
1,47,19
1,38,31
1,43,16
1,38,31
1,46,16
1,47,18
1,47,22
1,41,23
1,38,14
1,50,26
1,48,18
1,37,30
1,45,15
0,34,13
1,54,23
0,38,20
1,43,17
1,43,26
1,42,20
1,48,20
0,41,14
0,29,12
1,37,23
1,39,36
1,40,31
0,39,15
1,41,23
0,34,9
1,30,23
1,45,21
1,45,15
1,39,17
1,47,20
1,56,28
1,49,23
1,43,27
0,31,21
1,39,26
0,41,28
0,39,22
1,34,30
0,47,27
0,35,24
1,41,26
1,38,32
0,37,20
0,41,25
1,38,20
0,37,16
0,39,16
0,28,30
1,46,15
0,34,23
0,39,7
1,40,26
1,48,21
1,40,23
1,46,22
1,52,25
0,34,24
0,34,17
1,27,37
0,45,14
1,42,24
1,40,23
0,35,22
1,32,34
0,35,29
0,41,13
0,37,14
1,32,13
0,50,23
0,39,21
0,35,24
0,41,16
0,42,21
0,33,24
0,37,15
1,48,19
1,40,19
0,44,14
0,35,23
1,38,27
1,40,30
1,39,17
1,39,29
0,34,23
1,41,34
0,41,26
1,39,17
1,40,31
1,42,15
0,32,22
1,42,20
1,53,16
0,31,24
0,41,16
0,33,21
1,34,16
0,34,20
0,41,8
0,35,14
1,36,30
1,43,23
0,38,15
1,39,13
1,42,19
1,33,31
0,39,26
0,34,26
1,41,10
0,37,16
1,35,19
1,41,15
1,35,28
1,34,27
1,36,30
1,44,22
1,36,12
1,44,25
1,37,19
0,31,23
0,42,20
1,49,13
0,46,26
1,48,29
0,32,27
0,41,16
1,44,18
1,44,25
0,33,17
1,42,26
0,44,17
1,40,16
0,41,16
0,44,24
0,50,12
0,35,26
0,45,21
0,38,14
1,33,24
0,35,21
0,44,16
0,36,25
0,49,17
0,38,22
1,35,21
0,46,10
1,36,27
0,35,28
1,49,19
0,41,18
1,40,18
1,48,18
0,46,17
1,50,21
0,44,10
1,41,20
0,42,14
1,59,15
1,41,29
1,36,29
0,41,20
1,42,29
0,38,19
1,40,14
1,51,16
0,39,32
0,34,19
1,43,23
0,35,22
0,38,23
0,37,15
1,40,18
0,39,24
0,35,16
1,36,21
1,42,12
1,40,10
0,40,17
0,36,15
1,34,28
0,34,27
0,41,10
0,28,22
1,34,24
0,42,11
0,35,25
1,40,26
1,39,35
1,48,20
1,48,26
1,38,31
0,38,16
1,35,23
0,44,20
1,39,33
1,34,28
0,38,22
1,43,32
1,43,30
1,39,26
0,37,21
0,42,17
1,38,30
0,41,29
1,46,21
0,33,27
0,38,13
0,35,20
0,42,13
0,40,18
0,40,18
0,39,9
0,53,8
0,41,20
0,39,18
1,55,17
1,46,6
1,35,24
0,35,17
1,40,10
1,43,22
0,46,12
1,44,18
1,37,8
1,41,13
0,40,8
1,54,17
0,38,17
1,33,21
1,44,14
1,44,17
0,49,18
0,39,13
1,35,20
1,44,11
0,48,9
0,35,18
1,49,8
0,41,14
0,38,12
0,36,11
1,36,30
1,43,20
1,40,25
1,38,18
0,36,16
0,38,19
1,44,15
1,39,22
0,37,18
1,44,15
0,32,20
0,51,13
0,41,28
0,32,19
1,37,32
0,42,11
1,47,20
0,37,18
0,35,20
0,38,12
0,34,24
1,42,19
0,37,17
0,35,19
0,33,17
1,40,17
0,42,12
0,38,22
0,27,22
0,37,22
1,43,16
1,50,18
1,37,20
1,43,13
0,52,14
0,41,8
0,42,15
0,35,13
0,26,22
1,46,20
1,40,26
0,29,25
0,38,24
0,43,13
0,37,25
1,48,17
0,36,23
0,34,20
0,35,21
1,49,21
0,36,27
0,37,20
0,31,20
0,37,8
1,41,23
0,41,21
1,39,20
1,46,22
1,50,13
0,33,14
1,41,15
1,41,19
1,45,15
1,43,29
1,40,32
0,38,12
0,46,14
1,36,13
1,41,24
0,37,20
0,47,9
0,39,20
1,40,19
1,37,31
0,38,7
0,34,19
0,36,8
1,39,10
1,47,15
1,37,24
1,35,19
0,32,15
1,34,29
1,46,18
1,30,20
1,46,21
0,31,7
0,41,20
0,43,22
1,50,14
1,44,26
1,41,21
0,42,19
1,48,19
0,44,11
1,36,16
1,45,20
0,36,25
0,36,9
1,43,27
1,38,24
1,32,32
1,47,20
1,38,17
0,43,15
1,36,24
1,44,15
0,39,17
1,37,20
1,45,14
1,42,27
0,35,11
1,46,10
1,43,15
0,30,15
1,58,10
1,45,14
1,35,17
1,49,15
1,35,4
0,35,17
1,42,16
0,36,20
0,47,15
1,45,28
0,37,33
0,38,17
1,37,35
1,34,17
1,43,15
0,37,15
1,44,16
1,48,13
1,42,6
1,43,16
0,33,15
1,40,19
1,43,9
0,30,22
0,32,29
1,43,20
1,43,10
1,38,23
1,44,14
0,36,19
0,32,20
1,36,16
0,37,16
1,45,18
1,40,21
0,34,28
1,47,14
1,38,22
0,37,23
1,33,28
1,37,19
1,48,11
0,36,18
1,42,23
1,44,15
1,51,8
1,49,18
1,34,13
1,38,23
1,37,19
1,34,36
0,34,9
1,54,13
1,42,13
1,39,17
1,52,16
0,31,15
1,42,17
1,33,26
1,39,18
1,42,18
0,35,19
1,43,24
0,39,8
0,29,21
0,40,15
1,45,11
1,39,20
1,47,20
0,34,25
1,37,27
0,35,15
0,45,17
1,36,22
0,34,10
1,31,20
1,45,22
0,39,13
0,34,21
1,35,28
1,49,9
1,42,20
0,42,23
0,37,19
0,41,23
1,41,20
1,43,22
1,43,24
1,39,25
0,40,18
1,35,28
0,37,15
0,36,15
0,24,38
1,35,23
0,38,17
1,43,28
1,39,25
1,34,26
1,46,14
0,28,25
1,39,20
1,30,20
0,30,16
1,44,12
1,37,18
1,33,30
1,38,25
1,41,22
0,33,14
0,34,21
1,32,16
1,42,15
1,31,33
0,35,15
1,43,19
1,42,22
0,34,18
1,35,22
0,29,17
0,26,18
1,47,21
0,36,20
0,42,29
1,37,16
0,26,25
0,31,23
1,45,30
1,40,16
1,41,18
0,28,25
1,48,28
1,37,17
1,41,15
1,40,12
1,44,19
1,35,29
0,40,11
0,33,28
1,38,8
1,35,19
1,41,14
0,35,11
1,37,16
1,32,29
1,35,15
1,45,19
1,36,28
1,41,18
0,31,20
1,41,25
0,48,20
1,45,24
1,29,15
1,37,16
1,41,20
1,31,27
0,28,16
1,42,17
1,40,18
1,33,11
0,37,14
1,34,25
0,31,14
1,35,20
0,36,16
1,46,12
1,34,24
1,37,27
0,30,15
1,46,24
1,36,14
0,34,17
0,33,8
1,32,28
1,38,11
1,31,28
1,38,22
1,47,25
1,45,16
1,37,19
1,35,20
0,37,23
1,43,21
1,39,21
1,41,16
1,43,28
1,40,28
1,49,14
0,31,21
1,42,23
1,41,19
1,34,23
1,32,22
1,36,23
0,31,20
1,45,22
1,43,14
1,36,40
1,33,29
1,30,27
1,31,37
0,34,12
0,30,25
1,38,24
1,36,21
1,37,20
0,35,17
1,46,30
0,36,26
0,34,16
0,41,21
1,40,21
0,38,23
1,43,28
1,42,19
1,37,38
0,39,14
0,36,20
1,39,32
1,33,17
1,30,40
1,47,34
0,34,17
1,42,34
1,41,30
1,35,24
0,42,20
1,48,13
1,32,23
0,41,18
1,42,22
1,37,14
1,41,17
1,38,19
0,30,19
1,40,23
1,47,18
1,46,18
0,33,21
0,38,17
0,26,29
1,33,25
1,41,17
1,39,22
0,35,17
1,43,25
0,32,15
1,42,33
1,49,12
1,30,32
1,43,24
1,41,20
1,40,22
1,46,19
1,49,27
1,31,35
1,36,25
1,33,26
1,40,25
1,42,24
1,35,16
1,37,23
0,33,10
0,32,15
0,30,15
1,37,25
1,46,20
0,39,11
0,30,23
0,43,18
1,37,17
1,40,19
0,33,26
1,45,20
0,26,22
1,36,14
1,39,32
1,36,23
0,45,11
0,41,16
1,37,20
1,47,11
0,29,26
0,36,18
1,36,28
0,42,15
1,34,21
1,34,25
1,34,34
1,31,31
1,42,16
1,35,27
1,39,11
1,40,19
1,32,33
1,42,22
0,28,25
0,44,21
0,34,18
1,42,18
1,39,19
1,42,27
0,39,16
0,25,21
1,39,19
1,32,12
0,31,26
1,34,23
0,41,12
0,43,9
1,36,27
1,49,19
1,38,26
0,30,17
1,40,23
1,33,17
1,39,24
1,42,14
1,45,12
1,34,18
1,40,24
1,42,29
1,38,20
1,34,19
1,45,16
0,37,23
1,41,30
1,46,14
1,40,23
1,50,20
1,30,27
1,41,21
1,39,19
1,31,22
1,41,13
1,41,25
1,46,13
1,38,20
1,36,11
1,40,23
1,34,23
1,33,17
1,38,35
1,42,16
1,34,40
0,34,12
0,31,18
1,45,22
0,40,18
0,37,14
1,28,35
0,33,12
1,40,13
0,43,12
1,39,19
1,52,18
1,40,21
1,27,25
1,50,15
1,50,19
1,41,14
1,44,17
1,38,22
1,34,28
1,32,28
1,35,23
1,35,25
1,39,16
1,42,15
1,39,27
0,35,18
1,32,25
1,40,26
1,31,27
1,35,22
1,40,16
1,45,9
1,31,26
0,42,14
1,29,43
0,34,8
1,29,31
1,36,17
0,28,22
1,32,20
1,53,12
1,40,20
0,31,17
1,46,10
1,33,17
1,37,30
1,36,24
1,43,24
1,44,15
1,39,17
1,33,27
1,40,18
1,36,16
0,23,26
1,37,17
0,33,12
0,26,28
1,31,19
1,40,19
0,32,30
0,39,25
1,36,19
1,44,9
1,46,25
1,38,28
0,37,17
0,37,15
1,40,11
1,35,25
1,41,24
1,40,15
0,41,15
1,36,29
1,46,16
1,36,22
1,38,37
0,42,23
1,35,26
0,39,13
1,41,25
1,35,12
1,36,22
1,36,18
0,30,18
1,33,32
0,28,18
1,41,23
0,28,16
0,33,23
1,48,15
1,46,15
0,34,29
1,37,23
0,34,24
1,31,17
1,47,13
1,41,23
0,35,28
1,38,25
1,39,18
1,34,7
1,38,24
1,41,10
0,33,16
0,41,13
1,47,12
0,42,5
0,50,17
1,37,17
1,37,22
1,41,24
0,35,17
1,46,17
1,37,18
1,46,15
1,44,14
1,41,15
0,33,15
1,41,24
1,48,16
1,39,20
0,36,4
0,28,14
1,39,26
1,38,19
0,34,21
1,36,19
1,44,13
1,41,24
0,39,31
1,35,22
1,42,23
1,37,18
0,28,22
0,36,11
1,42,19
1,34,24
1,34,21
0,38,24
1,43,26
1,41,10
1,38,14
0,31,22
0,36,23
1,41,15
1,35,23
1,37,32
1,42,19
1,46,18
0,32,16
1,34,25
1,40,11
1,36,20
0,38,15
1,36,18
1,42,14
1,36,19
1,43,15
0,42,15
0,39,17
0,31,21
1,38,8
1,43,7
0,33,20
1,37,21
1,41,7
1,41,23
1,50,20
0,36,12
1,35,22
0,32,19
0,37,14
1,41,9
0,37,11
1,48,14
0,34,25
0,37,19
1,42,19
1,46,20
1,42,21
1,47,17
1,32,17
1,46,10
0,33,13
0,37,11
1,34,12
0,45,13
1,39,17
1,38,22
1,43,22
0,40,9
0,36,15
1,37,21
1,38,18
1,41,20
1,37,20
1,41,13
1,41,22
1,35,12
1,36,20
1,36,18
0,30,17
1,41,12
1,37,30
1,45,13
1,35,28
1,41,31
1,33,33
1,37,17
1,42,25
1,43,26
0,33,30
1,45,18
1,39,20
1,45,18
1,39,15
1,35,22
1,47,12
0,39,13
1,35,26
1,36,21
1,40,20
0,33,20
1,41,17
0,35,24
1,37,24
1,36,20
1,41,20
0,36,10
0,36,18
1,38,25
1,43,17
1,37,17
0,31,19
1,36,17
1,41,20
1,38,26
1,33,23
1,32,19
1,41,17
0,41,16
0,40,11
1,37,34
1,45,27
1,42,21
1,35,21
1,36,23
1,43,29
1,38,22
0,34,9
0,44,13
1,34,21
0,40,19
1,34,18
1,40,20
1,42,25
1,43,16
1,43,18
0,37,17
1,43,15
1,45,15
0,33,27
1,41,22
0,40,20
0,29,10
0,31,12
1,37,26
0,34,12
0,33,30
1,41,23
1,38,22
0,30,16
1,40,11
0,44,16
1,45,17
0,40,17
0,33,16
1,44,18
1,34,15
0,31,22
0,28,12
0,37,12
1,39,15
0,32,13
0,36,21
0,37,18
0,27,10
1,36,19
1,39,23
0,35,14
0,27,24
1,41,16
1,42,22
0,32,13
1,35,31
0,31,13
0,32,23
1,39,10
1,29,30
1,42,15
1,27,34
1,35,18
1,47,19
1,41,21
1,40,23
1,45,12
1,41,28
1,30,25
0,34,16
1,39,32
0,29,21
1,36,17
1,33,26
1,37,15
0,38,13
1,39,17
1,50,15
0,39,20
1,47,12
1,43,12
1,45,23
1,38,20
1,39,8
0,30,21
1,40,12
1,41,11
0,28,11
1,41,26
0,25,21
1,30,22
0,31,16
1,40,11
1,35,16
0,29,24
0,29,21
0,31,14
1,37,12
0,35,7
1,35,26
1,33,22
1,47,13
0,32,23
0,36,16
0,38,16
0,42,18
1,37,23
0,32,20
0,39,12
1,41,18
1,41,17
0,42,22
0,34,22
1,34,28
1,33,23
1,38,31
1,33,20
1,36,21
1,42,13
1,43,27
1,45,27
1,36,27
1,32,37
0,38,19
1,33,33
1,36,21
1,32,28
0,33,22
0,35,19
1,47,23
1,40,25
1,34,15
1,37,27
1,45,12
0,36,23
0,38,13
0,38,22
0,35,31
0,39,12
0,37,28
1,42,21
0,33,24
0,40,13
0,33,10
0,39,10
0,34,21
1,39,29
0,31,19
0,34,22
