Samuel Dalembert,C,6-11,250,22.0,1
Allen Iverson,G,6-0,165,28.0,6
Keith Van Horn,F,6-10,255,27.0,5
Monty Williams,F,6-8,225,31.0,8
John Salmons,G,6-7,210,23.0,0
Aaron McKie,G,6-5,209,30.0,8
Mark Bryant,F,6-9,250,38.0,14
Todd MacCulloch,C,7-0,255,27.0,3
Efthimios Rentzias,C,6-11,250,27.0,0
Eric Snow,G,6-3,204,30.0,7
Greg Buckner,G,6-4,210,26.0,3
Randy Holcomb,F,6-9,220,23.0,0
Damone Brown,G,6-8,202,24.0,1
William Avery,G,6-2,180,23.0,3
Art Long,F,6-9,250,30.0,2
Alvin Jones,C,6-11,265,24.0,1
Derrick Coleman,F,6-10,270,36.0,12
Brian Skinner,F-C,6-9,265,27.0,4
