Gerald Wallace,F,6-7,215,20.0,1
Kiwane Garris,G,6-2,183,28.0,2
Chris Webber,F,6-10,245,30.0,9
Hedo Turkoglu,F,6-10,220,24.0,2
Keon Clark,C-F,6-11,221,28.0,4
Mateen Cleaves,G,6-2,205,25.0,2
Mike Bibby,G,6-1,190,25.0,4
Doug Christie,G-F,6-6,205,33.0,10
Peja Stojakovic,F,6-10,229,26.0,4
Vlade Divac,C,7-1,260,35.0,13
Jason Sasser,F,6-7,225,29.0,2
Bobby Jackson,G,6-1,185,30.0,5
Brent Price,G,6-1,185,34.0,9
Scot Pollard,F-C,6-11,265,28.0,5
Corsley Edwards,F,6-9,275,24.0,0
Lawrence Funderburke,F,6-9,230,32.0,5
Casey Shaw,C,6-11,255,27.0,1
