W,NOV 01:1991,1991-92,Regular Season,00,SAN vs. DAL,53,93,2,7,32,34,12,35,38,8,9,10,24,140,16,4,16,4,78,207,28
W,NOV 03:1991,1991-92,Regular Season,00,SAN @ OKC,40,77,1,3,25,32,10,24,31,13,7,18,27,106,16,4,16,4,78,207,28
L,NOV 05:1991,1991-92,Regular Season,00,SAN @ DEN,34,83,0,1,28,35,11,42,14,9,5,22,26,96,16,4,16,4,78,207,28
W,NOV 06:1991,1991-92,Regular Season,00,SAN vs. POR,43,83,4,9,29,38,10,32,28,11,2,11,25,119,16,4,16,4,78,207,28
W,NOV 08:1991,1991-92,Regular Season,00,SAN vs. CLE,42,91,1,4,22,27,14,42,23,9,12,21,25,107,16,4,16,4,78,207,28
W,NOV 13:1991,1991-92,Regular Season,00,SAN vs. LAC,42,89,2,3,21,28,16,37,25,7,5,16,22,107,16,4,16,4,78,207,28
W,NOV 16:1991,1991-92,Regular Season,00,SAN vs. NYK,44,81,1,4,17,22,7,25,32,19,11,18,23,106,16,4,16,4,78,207,28
W,NOV 20:1991,1991-92,Regular Season,00,SAN vs. MIN,46,87,3,7,18,26,17,32,30,11,11,19,28,113,16,4,16,4,78,207,28
L,NOV 22:1991,1991-92,Regular Season,00,SAN @ LAL,37,89,3,8,19,26,18,32,29,6,8,16,27,96,16,4,16,4,78,207,28
L,NOV 24:1991,1991-92,Regular Season,00,SAN @ POR,44,95,2,5,21,28,21,38,28,4,9,17,27,111,16,4,16,4,78,207,28
W,NOV 27:1991,1991-92,Regular Season,00,SAN vs. BKN,44,87,0,2,18,26,18,41,25,4,13,26,25,106,16,4,16,4,78,207,28
W,NOV 29:1991,1991-92,Regular Season,00,SAN @ ATL,37,85,0,4,14,21,13,34,28,11,7,19,21,88,16,4,16,4,78,207,28
W,NOV 30:1991,1991-92,Regular Season,00,SAN vs. OKC,46,85,0,3,27,33,9,33,36,8,11,14,27,119,16,4,16,4,78,207,28
L,DEC 03:1991,1991-92,Regular Season,00,SAN @ SAC,40,93,0,2,14,18,21,38,25,8,6,25,25,94,16,4,16,4,78,207,28
L,DEC 04:1991,1991-92,Regular Season,00,SAN @ LAC,30,77,0,4,21,26,15,30,14,5,10,18,20,81,16,4,16,4,78,207,28
L,DEC 06:1991,1991-92,Regular Season,00,SAN vs. UTH,40,92,2,7,10,17,18,27,27,8,7,14,24,92,16,4,16,4,78,207,28
L,DEC 08:1991,1991-92,Regular Season,00,SAN @ MIL,35,81,0,5,13,22,13,25,23,16,5,25,26,83,16,4,16,4,78,207,28
L,DEC 10:1991,1991-92,Regular Season,00,SAN @ IND,40,78,0,4,22,33,12,29,27,5,10,21,34,102,16,4,16,4,78,207,28
W,DEC 11:1991,1991-92,Regular Season,00,SAN @ MIN,40,84,0,2,18,24,13,35,25,12,16,20,20,98,16,4,16,4,78,207,28
L,DEC 13:1991,1991-92,Regular Season,00,SAN vs. PHX,37,83,2,8,31,37,12,29,21,4,6,12,24,107,16,4,16,4,78,207,28
W,DEC 14:1991,1991-92,Regular Season,00,SAN @ HOU,37,76,2,5,31,35,10,33,26,5,4,17,29,107,16,4,16,4,78,207,28
W,DEC 17:1991,1991-92,Regular Season,00,SAN @ DAL,38,70,2,4,20,27,8,34,23,8,10,16,19,98,16,4,16,4,78,207,28
L,DEC 18:1991,1991-92,Regular Season,00,SAN vs. WAS,34,71,2,6,23,35,10,33,19,10,5,20,21,93,16,4,16,4,78,207,28
L,DEC 20:1991,1991-92,Regular Season,00,SAN @ PHX,37,85,0,2,17,21,13,32,20,7,8,22,29,91,16,4,16,4,78,207,28
W,DEC 23:1991,1991-92,Regular Season,00,SAN vs. SAC,36,88,1,3,28,37,16,34,21,12,7,15,19,101,16,4,16,4,78,207,28
W,DEC 26:1991,1991-92,Regular Season,00,SAN @ NYK,49,91,0,4,20,29,20,26,27,13,12,14,24,118,16,4,16,4,78,207,28
L,DEC 27:1991,1991-92,Regular Season,00,SAN @ CLE,39,91,1,7,18,23,18,21,23,11,8,11,29,97,16,4,16,4,78,207,28
W,DEC 29:1991,1991-92,Regular Season,00,SAN @ ORL,36,70,0,2,24,34,7,36,28,9,9,16,20,96,16,4,16,4,78,207,28
L,DEC 30:1991,1991-92,Regular Season,00,SAN @ WAS,36,86,0,2,12,20,17,25,18,14,8,17,23,84,16,4,16,4,78,207,28
L,JAN 04:1992,1991-92,Regular Season,00,SAN vs. HOU,43,106,3,5,21,29,31,44,29,5,12,26,23,110,16,4,16,4,78,207,28
W,JAN 06:1992,1991-92,Regular Season,00,SAN vs. DET,40,86,0,2,20,31,11,34,25,8,9,5,15,100,16,4,16,4,78,207,28
W,JAN 08:1992,1991-92,Regular Season,00,SAN vs. LAL,45,93,1,4,12,17,15,35,30,12,8,12,22,103,16,4,16,4,78,207,28
W,JAN 10:1992,1991-92,Regular Season,00,SAN @ GOS,50,87,1,2,27,40,11,36,34,10,4,18,28,128,16,4,16,4,78,207,28
