Jamison Brewer,G,6-4,184,22.0,1
Al Harrington,F,6-9,250,23.0,4
Ron Mercer,F,6-7,210,27.0,5
Jermaine O'Neal,F-C,6-11,242,24.0,6
Oliver Miller,C,6-9,325,33.0,8
Jeff Foster,C-F,6-11,242,26.0,3
Jamaal Tinsley,G,6-3,195,25.0,1
Fred Jones,G,6-2,218,24.0,0
Erick Strickland,G,6-3,210,29.0,6
Metta World Peace,F,6-7,246,23.0,3
Jonathan Bender,F,7-0,219,22.0,3
Primoz Brezec,F,7-1,252,23.0,1
Reggie Miller,G,6-7,195,37.0,15
Greg Foster,C,6-11,250,34.0,12
Austin Croshere,F,6-10,242,28.0,5
Brad Miller,C,7-0,261,27.0,4
