Mark Bryant,F-C,6-9,245,31.0,7
Eldridge Recasner,G,6-4,190,28.0,1
Sam Mack,F,6-7,220,26.0,1
Melvin Booker,G,6-1,185,23.0,0
Sam Cassell,G,6-3,195,26.0,2
Jaren Jackson,G,6-4,190,28.0,5
Tim Breaux,F,6-7,215,25.0,1
Mario Elie,F-G,6-5,210,32.0,5
Tracy Moore,G,6-4,200,30.0,3
Henry James,F,6-8,220,30.0,4
Clyde Drexler,G,6-7,222,34.0,12
Robert Horry,F,6-10,220,25.0,3
Charles Jones,C,6-9,215,39.0,12
Kenny Smith,G,6-3,170,31.0,8
Pete Chilcutt,F,6-10,235,27.0,4
Hakeem Olajuwon,C,7-0,255,33.0,11
Chucky Brown,F,6-8,215,28.0,6
Alvin Heggs,F,6-8,225,28.0,0
