1,0,134,0.0238095221733,0,1,103,1.48869227285e-08,0,1,91,3.22771368421e-08,1,1,114,0.0524730500061,1,0,93,0.0232567860883,1,0,109,0.0212149984903,0,0,99,1.99695037811e-08,0,1,123,2.3627880769e-08,1,1,100,0.0120531282595,0,1,103,0.017398541988,0,1,111,0.0191421611069,1,0,108,0.0261015513543
0,1,103,1.48869227285e-08,0,1,91,3.22771368421e-08,1,1,114,0.0524730500061,1,0,93,0.0232567860883,1,0,109,0.0212149984903,1,0,116,0.0294209791729,0,1,123,2.3627880769e-08,1,1,100,0.0120531282595,0,1,103,0.017398541988,0,1,111,0.0191421611069,1,0,108,0.0261015513543,0,0,86,0.0405340198703
0,1,91,3.22771368421e-08,1,1,114,0.0524730500061,1,0,93,0.0232567860883,1,0,109,0.0212149984903,1,0,116,0.0294209791729,0,0,125,0.026611583386,1,1,100,0.0120531282595,0,1,103,0.017398541988,0,1,111,0.0191421611069,1,0,108,0.0261015513543,0,0,86,0.0405340198703,1,1,115,0.0277786981744
1,1,114,0.0524730500061,1,0,93,0.0232567860883,1,0,109,0.0212149984903,1,0,116,0.0294209791729,0,0,125,0.026611583386,1,1,106,0.0179802228235,0,1,103,0.017398541988,0,1,111,0.0191421611069,1,0,108,0.0261015513543,0,0,86,0.0405340198703,1,1,115,0.0277786981744,1,0,122,0.0285700238471
1,0,93,0.0232567860883,1,0,109,0.0212149984903,1,0,116,0.0294209791729,0,0,125,0.026611583386,1,1,106,0.0179802228235,0,1,88,0.0216851529688,0,1,111,0.0191421611069,1,0,108,0.0261015513543,0,0,86,0.0405340198703,1,1,115,0.0277786981744,1,0,122,0.0285700238471,1,1,141,0.0262306727427
1,0,109,0.0212149984903,1,0,116,0.0294209791729,0,0,125,0.026611583386,1,1,106,0.0179802228235,0,1,88,0.0216851529688,0,1,97,0.0251226642007,1,0,108,0.0261015513543,0,0,86,0.0405340198703,1,1,115,0.0277786981744,1,0,122,0.0285700238471,1,1,141,0.0262306727427,1,1,115,0.0280365167447
1,0,116,0.0294209791729,0,0,125,0.026611583386,1,1,106,0.0179802228235,0,1,88,0.0216851529688,0,1,97,0.0251226642007,0,1,102,0.0239319868099,0,0,86,0.0405340198703,1,1,115,0.0277786981744,1,0,122,0.0285700238471,1,1,141,0.0262306727427,1,1,115,0.0280365167447,1,1,97,0.0208338258774
0,0,125,0.026611583386,1,1,106,0.0179802228235,0,1,88,0.0216851529688,0,1,97,0.0251226642007,0,1,102,0.0239319868099,0,0,83,0.0225037933034,1,1,115,0.0277786981744,1,0,122,0.0285700238471,1,1,141,0.0262306727427,1,1,115,0.0280365167447,1,1,97,0.0208338258774,1,0,108,0.0183337236928
1,1,106,0.0179802228235,0,1,88,0.0216851529688,0,1,97,0.0251226642007,0,1,102,0.0239319868099,0,0,83,0.0225037933034,0,0,97,0.0225613588275,1,0,122,0.0285700238471,1,1,141,0.0262306727427,1,1,115,0.0280365167447,1,1,97,0.0208338258774,1,0,108,0.0183337236928,1,1,114,0.0232413581917
0,1,88,0.0216851529688,0,1,97,0.0251226642007,0,1,102,0.0239319868099,0,0,83,0.0225037933034,0,0,97,0.0225613588275,1,1,113,0.0236526536961,1,1,141,0.0262306727427,1,1,115,0.0280365167447,1,1,97,0.0208338258774,1,0,108,0.0183337236928,1,1,114,0.0232413581917,1,0,83,0.0232380156781
0,1,97,0.0251226642007,0,1,102,0.0239319868099,0,0,83,0.0225037933034,0,0,97,0.0225613588275,1,1,113,0.0236526536961,0,1,102,0.0464980510439,1,1,115,0.0280365167447,1,1,97,0.0208338258774,1,0,108,0.0183337236928,1,1,114,0.0232413581917,1,0,83,0.0232380156781,0,0,79,0.0236657139441
0,1,102,0.0239319868099,0,0,83,0.0225037933034,0,0,97,0.0225613588275,1,1,113,0.0236526536961,0,1,102,0.0464980510439,0,0,98,0.0398599563693,1,1,97,0.0208338258774,1,0,108,0.0183337236928,1,1,114,0.0232413581917,1,0,83,0.0232380156781,0,0,79,0.0236657139441,1,1,106,0.0226191404545
0,0,83,0.0225037933034,0,0,97,0.0225613588275,1,1,113,0.0236526536961,0,1,102,0.0464980510439,0,0,98,0.0398599563693,0,0,86,0.044353475597,1,0,108,0.0183337236928,1,1,114,0.0232413581917,1,0,83,0.0232380156781,0,0,79,0.0236657139441,1,1,106,0.0226191404545,0,1,97,0.0264868643187
0,0,97,0.0225613588275,1,1,113,0.0236526536961,0,1,102,0.0464980510439,0,0,98,0.0398599563693,0,0,86,0.044353475597,1,1,109,0.042501305628,1,1,114,0.0232413581917,1,0,83,0.0232380156781,0,0,79,0.0236657139441,1,1,106,0.0226191404545,0,1,97,0.0264868643187,1,0,111,0.0265922744315
1,1,113,0.0236526536961,0,1,102,0.0464980510439,0,0,98,0.0398599563693,0,0,86,0.044353475597,1,1,109,0.042501305628,1,0,87,0.0395213183658,1,0,83,0.0232380156781,0,0,79,0.0236657139441,1,1,106,0.0226191404545,0,1,97,0.0264868643187,1,0,111,0.0265922744315,1,1,115,0.0265230807737
0,1,102,0.0464980510439,0,0,98,0.0398599563693,0,0,86,0.044353475597,1,1,109,0.042501305628,1,0,87,0.0395213183658,1,0,125,0.0400383206321,0,0,79,0.0236657139441,1,1,106,0.0226191404545,0,1,97,0.0264868643187,1,0,111,0.0265922744315,1,1,115,0.0265230807737,1,0,100,0.026258511645
