L,OCT 30:2001,2001-02,Regular Season,00,CLE vs. BOS,39,90,3,17,8,10,7,29,30,3,8,13,21,89,16,16,7,26,79,230,26
L,OCT 31:2001,2001-02,Regular Season,00,CLE @ CHH,32,83,2,6,28,31,14,33,15,9,4,11,23,94,16,16,7,26,79,230,26
W,NOV 02:2001,2001-02,Regular Season,00,CLE @ MIA,33,65,5,8,19,29,8,33,16,6,5,20,21,90,16,16,7,26,79,230,26
L,NOV 03:2001,2001-02,Regular Season,00,CLE vs. ORL,20,79,3,11,26,33,15,35,14,3,5,15,22,69,16,16,7,26,79,230,26
L,NOV 06:2001,2001-02,Regular Season,00,CLE vs. SAC,41,78,1,7,16,24,7,31,28,3,12,14,16,99,16,16,7,26,79,230,26
L,NOV 07:2001,2001-02,Regular Season,00,CLE @ NYK,24,77,3,12,13,20,16,31,13,9,5,17,18,64,16,16,7,26,79,230,26
L,NOV 10:2001,2001-02,Regular Season,00,CLE @ BKN,33,79,3,12,15,19,9,35,20,6,5,13,17,84,16,16,7,26,79,230,26
W,NOV 13:2001,2001-02,Regular Season,00,CLE @ MIN,37,86,6,14,27,33,13,32,18,5,1,10,27,107,16,16,7,26,79,230,26
L,NOV 14:2001,2001-02,Regular Season,00,CLE vs. DAL,34,77,4,10,22,25,12,22,27,5,3,14,17,94,16,16,7,26,79,230,26
L,NOV 16:2001,2001-02,Regular Season,00,CLE @ SAN,36,84,10,15,9,11,13,25,23,7,2,14,28,91,16,16,7,26,79,230,26
L,NOV 17:2001,2001-02,Regular Season,00,CLE @ MEM,38,80,3,11,14,21,12,33,28,5,2,11,27,93,16,16,7,26,79,230,26
W,NOV 21:2001,2001-02,Regular Season,00,CLE vs. MEM,37,77,10,17,17,20,15,28,29,11,7,22,24,101,16,16,7,26,79,230,26
L,NOV 23:2001,2001-02,Regular Season,00,CLE @ PHL,27,79,2,16,12,17,8,39,19,9,6,17,17,68,16,16,7,26,79,230,26
W,NOV 24:2001,2001-02,Regular Season,00,CLE vs. MIA,35,82,6,11,24,30,13,35,26,4,5,13,25,100,16,16,7,26,79,230,26
W,NOV 27:2001,2001-02,Regular Season,00,CLE vs. WAS,41,81,2,10,10,11,8,37,29,4,9,10,18,94,16,16,7,26,79,230,26
L,NOV 29:2001,2001-02,Regular Season,00,CLE vs. ATL,34,79,6,12,22,27,9,26,23,7,8,13,21,96,16,16,7,26,79,230,26
W,DEC 01:2001,2001-02,Regular Season,00,CLE vs. CHH,30,77,7,12,26,27,9,34,19,8,7,12,15,93,16,16,7,26,79,230,26
W,DEC 04:2001,2001-02,Regular Season,00,CLE vs. DET,34,68,6,13,26,32,9,37,27,8,12,17,15,100,16,16,7,26,79,230,26
