Greg Ostertag,C,7-2,280,30.0,7
DeShawn Stevenson,G,6-5,210,22.0,2
John Stockton,G,6-1,175,41.0,18
Mark Jackson,G,6-3,195,38.0,15
John Amaechi,F-C,6-10,270,32.0,4
Matt Harpring,F-G,6-7,231,27.0,4
Curtis Borchardt,C,7-0,240,22.0,0
Raul Lopez,G,6-0,160,23.0,0
Carlos Arroyo,G,6-2,202,23.0,1
Jarron Collins,C,6-11,252,24.0,1
Karl Malone,F,6-9,256,39.0,17
Anthony Bonner,F,6-8,230,35.0,6
Scott Padgett,F,6-9,240,27.0,3
Calbert Cheaney,F-G,6-7,217,31.0,9
Paul Grant,C,7-0,245,29.0,1
Andrei Kirilenko,F,6-9,225,22.0,1
