Michael Adams,G,5-10,162,31.0,8
Ron Anderson,F,6-7,215,35.0,9
Mitchell Butler,G,6-5,227,23.0,0
Rex Chapman,G,6-4,185,26.0,5
Calbert Cheaney,G-F,6-7,217,22.0,0
Marty Conlon,C,6-10,224,26.0,2
Kevin Duckworth,C,7-0,275,30.0,7
Pervis Ellison,C,6-9,210,27.0,4
Andrew Gaze,F,6-7,205,28.0,0
Tom Gugliotta,F,6-10,250,24.0,1
Tito Horford,C,7-1,245,28.0,2
Don MacLean,F,6-10,235,24.0,1
Gheorghe Muresan,C,7-7,303,23.0,0
Doug Overton,G,6-3,190,24.0,1
Gerald Paddio,F,6-7,205,29.0,2
Brent Price,G,6-1,185,25.0,1
Larry Stewart,F,6-8,220,25.0,2
Kenny Walker,F,6-8,210,29.0,5
