David Benoit,F,6-8,220,26.0,2
Walter Bond,G,6-5,200,25.0,1
Tom Chambers,F,6-10,220,35.0,12
Tyrone Corbin,F,6-6,210,31.0,8
John Crotty,G,6-1,185,24.0,1
Chad Gallagher,C,6-10,255,25.0,0
Sean Green,G,6-5,210,24.0,2
Jeff Hornacek,G,6-3,190,31.0,7
Stephen Howard,F,6-9,225,23.0,1
Jay Humphries,G,6-3,185,31.0,9
Karl Malone,F,6-9,259,30.0,8
Darren Morningstar,C,6-10,235,25.0,0
Bryon Russell,G-F,6-7,225,23.0,0
Felton Spencer,C,7-0,265,26.0,3
John Stockton,G,6-1,170,32.0,9
Aaron Williams,F,6-9,240,22.0,0
Luther Wright,C,7-2,270,22.0,0
