Dorell Wright,F,6-9,210,22.0,3
Dwyane Wade,G,6-4,216,26.0,4
Marcus Banks,G,6-2,212,26.0,4
Blake Ahearn,G,6-2,190,24.0,0
Shawn Marion,F,6-7,230,30.0,8
Chris Quinn,G,6-2,175,24.0,1
Kasib Powell,F,6-7,215,27.0,0
Alexander Johnson,F,6-9,230,25.0,1
Daequan Cook,G,6-5,205,21.0,0
Mark Blount,C-F,7-0,250,32.0,7
Earl Barron,F-C,7-0,245,26.0,2
Ricky Davis,F-G,6-7,205,28.0,9
Alonzo Mourning,C,6-10,261,38.0,14
Udonis Haslem,F,6-8,235,28.0,4
Stephane Lasme,F,6-8,215,25.0,0
Joel Anthony,C,6-9,245,25.0,0
Jason Williams,G,6-1,180,32.0,9
