Stephen Bardo,G,6-5,190,25.0,1
Walter Bond,G,6-5,200,24.0,0
Dexter Cambridge,F,6-7,224,23.0,0
Radisav Curcic,C,6-10,275,27.0,0
Terry Davis,F,6-9,225,26.0,3
Derek Harper,G,6-4,185,31.0,9
Donald Hodge,F,7-0,230,24.0,1
Brian Howard,F,6-6,204,25.0,1
Mike Iuzzolino,G,5-10,175,25.0,1
Jim Jackson,G-F,6-6,220,22.0,0
Tim Legler,G,6-4,200,26.0,2
Tracy Moore,G,6-4,200,27.0,1
Walter Palmer,C,7-1,215,24.0,1
Sean Rooks,C,6-10,270,23.0,0
Doug Smith,F,6-10,220,23.0,1
Lamont Strothers,G,6-4,190,25.0,1
Randy White,F,6-8,240,25.0,3
Morlon Wiley,G,6-4,185,26.0,4
