Duane Causwell,C,7-0,255,35.0,11
Mengke Bateer,C,6-11,290,27.0,1
Erick Barkley,G,6-1,185,25.0,2
Stephen Jackson,G-F,6-8,220,25.0,2
Steven Smith,G,6-8,221,34.0,11
Tony Parker,G,6-2,180,21.0,1
Speedy Claxton,G,5-11,166,25.0,1
Bruce Bowen,G,6-7,200,32.0,6
Manu Ginobili,G,6-6,210,25.0,0
Tim Duncan,F-C,7-0,260,27.0,5
Devin Brown,G-F,6-5,235,24.0,0
Steve Kerr,G,6-1,180,37.0,14
Malik Rose,F,6-7,255,28.0,6
Danny Ferry,F,6-10,235,36.0,12
Mikki Moore,C,7-0,230,27.0,4
Kevin Willis,C,7-0,245,40.0,17
David Robinson,C,7-1,250,37.0,13
