Brendan Haywood,C,7-0,268,23.0,1
Jared Jeffries,F,6-11,230,21.0,0
Bryon Russell,G-F,6-7,225,32.0,9
Juan Dixon,G,6-3,164,24.0,0
Kwame Brown,F-C,6-11,248,21.0,1
Tyronn Lue,G,6-0,178,26.0,4
Chris Whitney,G,6-0,175,31.0,9
Larry Hughes,G,6-5,184,24.0,4
Bobby Simmons,G-F,6-6,235,23.0,1
Michael Jordan,G,6-6,216,40.0,14
Brian Cardinal,F,6-8,245,26.0,2
Etan Thomas,C,6-10,260,25.0,1
Jerry Stackhouse,G-F,6-6,218,28.0,7
Christian Laettner,F-C,6-11,245,33.0,10
Ratko Varda,C,7-1,265,24.0,1
Horacio Llamas,C,6-11,285,29.0,2
Jahidi White,C-F,6-9,290,27.0,4
