Scott Skiles,G,6-1,180,32.0,9
Elmer Bennett,G,6-0,170,26.0,1
Richard Dumas,F,6-7,225,27.0,2
Trevor Ruffin,G,6-1,199,25.0,1
Sean Higgins,G-F,6-9,215,27.0,4
Vernon Maxwell,G,6-4,190,30.0,7
Greg Sutton,G,6-2,185,28.0,2
Derrick Alston,F,6-11,225,23.0,1
Rex Walters,G,6-4,190,26.0,2
Trevor Wilson,F,6-7,210,28.0,3
Tony Massenburg,F,6-9,245,28.0,3
Clar. Weatherspoon,F,6-7,240,25.0,3
Mike Brown,C,6-10,257,32.0,9
LaSalle Thompson,C-F,6-10,260,35.0,13
Jerry Stackhouse,G-F,6-6,218,21.0,0
Derrick Coleman,F,6-10,258,29.0,5
Ed Pinckney,F,6-9,240,33.0,10
Scott Williams,C,6-10,230,28.0,5
