Amal McCaskill,C,6-11,245,29.0,2
Derek Anderson,G,6-5,195,28.0,5
Billy Owens,F-G,6-9,225,34.0,10
Damon Stoudamire,G,5-10,171,29.0,7
Jeff McInnis,G,6-4,179,28.0,5
Bonzi Wells,G-F,6-5,210,26.0,4
Charles Smith,G,6-4,200,27.0,3
Antonio Daniels,G,6-4,205,28.0,5
Arvydas Sabonis,C,7-3,292,38.0,6
Chris Dudley,C,6-11,260,38.0,15
Richie Frahm,G,6-5,203,25.0,0
Ruben Patterson,F-G,6-5,224,27.0,4
Qyntel Woods,F,6-8,221,22.0,0
Rasheed Wallace,F-C,6-11,230,28.0,7
Scottie Pippen,F-G,6-8,228,37.0,15
Dale Davis,C-F,6-11,252,34.0,11
Ruben Boumtje-Boumtje,C,7-0,257,25.0,1
Zach Randolph,F,6-9,253,21.0,1
