W,NOV 01:1991,1991-92,Regular Season,00,BOS vs. CHH,43,92,0,3,25,33,11,33,29,8,7,13,29,111,9,6,9,8,73,194,28
L,NOV 02:1991,1991-92,Regular Season,00,BOS @ WAS,52,105,2,6,12,15,18,38,23,5,7,21,22,118,9,6,9,8,73,194,28
W,NOV 05:1991,1991-92,Regular Season,00,BOS @ MIA,35,80,0,2,23,27,14,32,18,8,5,20,28,93,9,6,9,8,73,194,28
L,NOV 06:1991,1991-92,Regular Season,00,BOS vs. CHI,47,88,0,1,19,21,7,18,28,9,4,12,23,113,9,6,9,8,73,194,28
L,NOV 08:1991,1991-92,Regular Season,00,BOS vs. ATL,39,82,1,7,16,20,7,34,25,10,9,18,19,95,9,6,9,8,73,194,28
L,NOV 10:1991,1991-92,Regular Season,00,BOS @ POR,36,93,2,5,16,23,14,29,21,7,6,16,29,90,9,6,9,8,73,194,28
W,NOV 12:1991,1991-92,Regular Season,00,BOS @ SAC,55,93,0,3,16,23,15,37,32,8,6,16,18,126,9,6,9,8,73,194,28
W,NOV 13:1991,1991-92,Regular Season,00,BOS @ PHX,48,86,1,2,20,24,3,40,31,5,5,14,25,117,9,6,9,8,73,194,28
W,NOV 15:1991,1991-92,Regular Season,00,BOS vs. PHL,52,97,3,3,15,17,14,32,33,10,11,15,15,122,9,6,9,8,73,194,28
L,NOV 16:1991,1991-92,Regular Season,00,BOS @ CHH,45,103,2,2,17,20,22,23,22,4,0,8,21,109,9,6,9,8,73,194,28
W,NOV 20:1991,1991-92,Regular Season,00,BOS vs. IND,41,85,1,4,33,37,11,36,28,9,10,13,25,116,9,6,9,8,73,194,28
W,NOV 23:1991,1991-92,Regular Season,00,BOS @ BKN,49,86,2,3,25,27,15,37,24,8,6,23,26,125,9,6,9,8,73,194,28
W,NOV 25:1991,1991-92,Regular Season,00,BOS vs. WAS,51,98,3,5,16,21,14,35,26,14,6,9,22,121,9,6,9,8,73,194,28
W,NOV 27:1991,1991-92,Regular Season,00,BOS vs. ORL,40,77,3,9,18,24,6,35,23,8,10,17,21,101,9,6,9,8,73,194,28
W,NOV 29:1991,1991-92,Regular Season,00,BOS vs. LAL,47,85,1,4,19,25,12,36,30,6,4,11,16,114,9,6,9,8,73,194,28
L,NOV 30:1991,1991-92,Regular Season,00,BOS @ ATL,42,93,4,7,14,17,17,26,29,5,5,17,23,102,9,6,9,8,73,194,28
W,DEC 04:1991,1991-92,Regular Season,00,BOS vs. MIA,50,84,3,6,21,23,13,31,37,10,7,15,22,124,9,6,9,8,73,194,28
W,DEC 06:1991,1991-92,Regular Season,00,BOS vs. NYK,37,83,3,5,26,30,16,34,23,6,3,10,19,103,9,6,9,8,73,194,28
W,DEC 09:1991,1991-92,Regular Season,00,BOS vs. DEN,56,101,3,10,17,21,14,38,35,11,9,14,17,132,9,6,9,8,73,194,28
W,DEC 13:1991,1991-92,Regular Season,00,BOS vs. OKC,48,81,0,3,21,24,8,35,28,7,5,15,13,117,9,6,9,8,73,194,28
