W,NOV 01:2006,2006-07,Regular Season,00,BKN vs. TOR,40,78,3,18,19,24,9,43,28,2,5,23,26,102,15,14,3,13,79,226,27
L,NOV 03:2006,2006-07,Regular Season,00,BKN @ MIA,30,77,6,20,19,22,8,32,12,5,2,16,21,85,15,14,3,13,79,226,27
W,NOV 08:2006,2006-07,Regular Season,00,BKN vs. UTH,29,69,7,19,31,40,7,24,15,4,1,11,22,96,15,14,3,13,79,226,27
L,NOV 10:2006,2006-07,Regular Season,00,BKN vs. MIA,36,75,9,24,25,35,4,33,23,2,3,16,28,106,15,14,3,13,79,226,27
W,NOV 12:2006,2006-07,Regular Season,00,BKN @ WAS,40,82,9,20,16,21,2,41,28,7,7,12,24,105,15,14,3,13,79,226,27
L,NOV 13:2006,2006-07,Regular Season,00,BKN vs. OKC,41,81,8,19,23,27,10,24,27,4,1,10,22,113,15,14,3,13,79,226,27
W,NOV 15:2006,2006-07,Regular Season,00,BKN vs. MIL,37,67,6,15,20,26,8,37,28,7,2,23,24,100,15,14,3,13,79,226,27
W,NOV 17:2006,2006-07,Regular Season,00,BKN @ IND,34,75,6,13,26,30,10,33,20,8,4,15,19,100,15,14,3,13,79,226,27
L,NOV 18:2006,2006-07,Regular Season,00,BKN vs. POR,23,69,2,12,20,32,14,29,17,2,2,13,22,68,15,14,3,13,79,226,27
L,NOV 20:2006,2006-07,Regular Season,00,BKN @ OKC,33,72,4,16,17,23,10,34,21,5,3,22,27,87,15,14,3,13,79,226,27
L,NOV 22:2006,2006-07,Regular Season,00,BKN @ POR,41,76,4,16,11,15,10,27,26,2,4,9,21,97,15,14,3,13,79,226,27
L,NOV 24:2006,2006-07,Regular Season,00,BKN @ PHX,39,89,0,11,15,24,19,30,13,7,5,20,26,93,15,14,3,13,79,226,27
L,NOV 26:2006,2006-07,Regular Season,00,BKN @ LAL,35,72,4,11,19,30,9,33,24,6,6,16,21,93,15,14,3,13,79,226,27
L,NOV 28:2006,2006-07,Regular Season,00,BKN vs. CHH,28,69,3,15,33,46,7,31,17,7,5,14,20,92,15,14,3,13,79,226,27
W,NOV 29:2006,2006-07,Regular Season,00,BKN @ BOS,36,75,4,11,30,33,11,29,26,9,2,11,19,106,15,14,3,13,79,226,27
W,DEC 02:2006,2006-07,Regular Season,00,BKN vs. PHL,42,86,6,16,22,33,14,32,28,3,4,14,23,112,15,14,3,13,79,226,27
L,DEC 05:2006,2006-07,Regular Season,00,BKN vs. DAL,26,74,2,12,21,31,14,33,15,6,2,13,21,75,15,14,3,13,79,226,27
L,DEC 07:2006,2006-07,Regular Season,00,BKN vs. PHX,60,107,10,21,27,31,10,40,37,2,3,17,29,157,15,14,3,13,79,226,27
L,DEC 09:2006,2006-07,Regular Season,00,BKN vs. BOS,33,78,6,23,18,26,15,38,22,6,5,14,24,90,15,14,3,13,79,226,27
W,DEC 11:2006,2006-07,Regular Season,00,BKN vs. MEM,40,84,15,30,10,13,12,32,31,10,4,18,21,105,15,14,3,13,79,226,27
W,DEC 13:2006,2006-07,Regular Season,00,BKN vs. MIL,38,77,10,22,22,30,15,25,31,11,2,16,23,108,15,14,3,13,79,226,27
L,DEC 15:2006,2006-07,Regular Season,00,BKN @ TOR,30,77,3,18,15,22,11,34,12,5,0,13,17,78,15,14,3,13,79,226,27
L,DEC 16:2006,2006-07,Regular Season,00,BKN vs. DET,29,78,6,21,18,19,14,25,22,5,2,17,27,82,15,14,3,13,79,226,27
W,DEC 18:2006,2006-07,Regular Season,00,BKN vs. GOS,38,95,6,22,23,31,18,40,30,10,1,13,21,105,15,14,3,13,79,226,27
W,DEC 20:2006,2006-07,Regular Season,00,BKN vs. CLE,39,68,7,15,28,37,6,30,24,4,5,18,28,113,15,14,3,13,79,226,27
L,DEC 22:2006,2006-07,Regular Season,00,BKN vs. LAL,35,84,5,19,20,25,10,25,22,5,5,5,17,95,15,14,3,13,79,226,27
L,DEC 23:2006,2006-07,Regular Season,00,BKN @ MIL,39,93,10,29,16,20,16,26,28,10,4,12,25,104,15,14,3,13,79,226,27
L,DEC 26:2006,2006-07,Regular Season,00,BKN @ DET,30,65,3,9,28,37,5,32,18,5,2,13,24,91,15,14,3,13,79,226,27
L,DEC 27:2006,2006-07,Regular Season,00,BKN vs. HOU,24,73,3,16,20,23,8,24,19,14,3,14,17,71,15,14,3,13,79,226,27
W,DEC 29:2006,2006-07,Regular Season,00,BKN @ MIA,34,73,8,21,15,17,11,29,22,7,3,16,21,91,15,14,3,13,79,226,27
W,DEC 30:2006,2006-07,Regular Season,00,BKN vs. MIN,40,76,8,21,12,16,11,25,28,7,1,14,25,100,15,14,3,13,79,226,27
W,JAN 05:2007,2006-07,Regular Season,00,BKN vs. CHI,27,74,6,23,31,44,15,36,21,13,2,19,21,91,15,14,3,13,79,226,27
