Maurice Taylor,F,6-9,260,26.0,4
Steve Francis,G,6-3,195,26.0,3
Cuttino Mobley,G,6-4,210,27.0,4
Tito Maddox,G,6-4,190,22.0,0
Bostjan Nachbar,F,6-9,221,22.0,0
Tierre Brown,G,6-2,189,24.0,1
Yao Ming,C,7-5,296,22.0,0
Moochie Norris,G,6-2,185,29.0,5
Kelvin Cato,C,6-11,275,28.0,5
Oscar Torres,G-F,6-6,210,26.0,1
Kenny Thomas,F,6-7,245,25.0,3
Juaquin Hawkins,F,6-7,205,29.0,0
Steve Goodrich,C,6-10,220,27.0,2
Eddie Griffin,F,6-10,232,21.0,1
Glen Rice,F-G,6-8,220,36.0,13
Terence Morris,F,6-9,221,24.0,1
Jason Collier,F,7-0,260,25.0,2
