Keyon Dooling,G,6-3,196,23.0,2
Melvin Ely,F,6-10,260,25.0,0
Quentin Richardson,G,6-6,236,23.0,2
Lamar Odom,F,6-10,221,23.0,3
Marko Jaric,G,6-7,198,24.0,0
Bryant Stith,G,6-5,210,32.0,10
Andre Miller,G,6-2,200,27.0,3
Tremaine Fowlkes,F,6-8,220,27.0,1
Mike Batiste,F,6-8,225,25.0,0
Michael Olowokandi,C,7-0,270,28.0,4
Elton Brand,F,6-8,265,24.0,3
Cherokee Parks,F-C,6-11,240,30.0,7
Sean Rooks,C,6-10,260,33.0,10
Corey Maggette,F-G,6-6,228,23.0,3
Eric Piatkowski,G-F,6-6,215,32.0,8
Chris Wilcox,F,6-10,221,20.0,0
Jason Lawson,C,6-11,240,28.0,1
