Anthony Bonner,F,6-8,215,23.0,0
Rick Calloway,G,6-6,180,24.0,0
Antoine Carr,F,6-9,225,29.0,6
Duane Causwell,C,7-0,240,23.0,0
Steve Colter,G,6-3,165,28.0,6
Tony Dawson,F,6-7,215,23.0,0
Anthony Frederick,F,6-7,205,26.0,1
Bob Hansen,G,6-6,190,30.0,7
Mike Higgins,F,6-9,220,24.0,1
Jim Les,G,5-11,165,27.0,2
Travis Mays,G,6-2,190,23.0,0
Ralph Sampson,C,7-4,228,30.0,7
Lionel Simmons,F,6-7,210,22.0,0
Rory Sparrow,G,6-2,175,33.0,10
Wayman Tisdale,F,6-9,240,27.0,5
Bill Wennington,C,7-0,245,28.0,5
Leon Wood,G,6-3,185,29.0,5
