Gilbert Arenas,G,6-4,215,28.0,8
Nick Young,G,6-6,200,25.0,2
Shaun Livingston,G,6-7,185,24.0,4
Quinton Ross,G-F,6-6,193,29.0,5
Josh Howard,G-F,6-7,210,30.0,6
Mike Miller,G-F,6-8,218,30.0,9
Andray Blatche,F-C,6-11,248,23.0,4
Javaris Crittenton,G,6-5,200,22.0,2
Cedric Jackson,G,6-3,190,24.0,0
Earl Boykins,G,5-5,133,34.0,10
Al Thornton,F,6-8,220,26.0,2
Randy Foye,G,6-4,213,26.0,3
Cartier Martin,G-F,6-7,220,25.0,1
Fabricio Oberto,F-C,6-10,245,35.0,4
James Singleton,F,6-8,230,28.0,5
JaVale McGee,C,7-0,252,22.0,1
