Sean Colson,G,6-0,175,27.0,1
Ansu Sesay,F,6-9,225,26.0,1
Rashard Lewis,F,6-10,215,23.0,4
Vitaly Potapenko,C-F,6-10,285,28.0,6
Predrag Drobnjak,C,6-11,272,27.0,1
Kenny Anderson,G,6-1,168,32.0,11
Gary Payton,G,6-4,180,34.0,12
Desmond Mason,F-G,6-5,222,25.0,2
Brent Barry,G,6-6,203,31.0,7
Miles Simon,G,6-3,202,27.0,1
Jerome James,C,7-1,272,27.0,2
Reggie Evans,F,6-8,245,23.0,0
Joseph Forte,G,6-4,194,22.0,1
Jonathan Kerner,C,6-11,245,29.0,1
Calvin Booth,C,6-11,231,27.0,3
Vladimir Radmanovic,F,6-10,234,22.0,1
