Rafael Addison,F,6-7,215,28.0,2
Kenny Anderson,G,6-1,168,22.0,1
Sam Bowie,C,7-1,235,32.0,7
Chucky Brown,F,6-7,214,25.0,3
Maurice Cheeks,G,6-1,180,36.0,14
Derrick Coleman,F,6-10,270,26.0,2
Chris Dudley,C,6-11,260,28.0,5
Tate George,G,6-5,190,25.0,2
Dave Hoppen,C,6-11,235,29.0,5
Bernard King,F,6-7,205,36.0,13
Doug Lee,G,6-5,200,28.0,1
Rick Mahorn,F,6-10,240,34.0,11
Chris Morris,F,6-8,210,27.0,4
Drazen Petrovic,G,6-5,195,28.0,3
Rumeal Robinson,G,6-2,195,26.0,2
Dwayne Schintzius,C,7-1,260,24.0,2
Jayson Williams,F,6-9,240,25.0,2
