Chris Webber,F,6-10,250,23.0,2
Juwan Howard,F,6-9,250,23.0,1
Kevin Pritchard,G,6-3,180,28.0,3
Chris Whitney,G,6-0,170,24.0,2
Robert Pack,G,6-2,190,27.0,4
Mark Price,G,6-0,170,32.0,9
Brent Price,G,6-1,185,27.0,2
Ledell Eackles,G,6-5,231,29.0,5
Jim McIlvaine,C,7-1,260,23.0,1
Tim Legler,G,6-4,200,29.0,5
Rasheed Wallace,F-C,6-11,245,21.0,0
Mitchell Butler,G,6-5,210,25.0,2
Bob Thornton,F,6-10,225,33.0,7
Calbert Cheaney,G-F,6-7,215,24.0,2
Cedric Lewis,F,6-10,235,26.0,0
Jeff Webster,F,6-8,232,25.0,0
Bob McCann,F,6-7,245,32.0,3
Gheorghe Muresan,C,7-7,303,25.0,2
