Dorell Wright,F-G,6-9,210,24.0,5
Dwyane Wade,G,6-4,220,28.0,6
Kenny Hasbrouck,G,6-3,190,23.0,0
Quentin Richardson,F,6-6,228,30.0,9
Mario Chalmers,G,6-1,190,24.0,1
Jermaine O'Neal,C,6-11,255,31.0,13
Carlos Arroyo,G,6-2,202,30.0,7
Yakhouba Diawara,F-G,6-7,225,27.0,3
Rafer Alston,G,6-2,175,33.0,10
Daequan Cook,G,6-5,210,23.0,2
Jamaal Magloire,C,6-11,255,32.0,9
James Jones,F,6-8,220,29.0,6
Michael Beasley,F,6-10,235,21.0,1
Udonis Haslem,F,6-8,235,30.0,6
Shavlik Randolph,F,6-10,236,26.0,4
Joel Anthony,C,6-9,245,27.0,2
