Nazr Mohammed,C,6-10,250,25.0,4
Shareef Abdur-Rahim,F,6-9,240,26.0,6
Chris Crawford,F,6-9,235,28.0,5
Antonio Harvey,F-C,6-11,250,32.0,7
Dion Glover,F-G,6-5,228,24.0,3
Maurice Carter,G,6-5,210,26.0,0
Darvin Ham,F-G,6-7,230,29.0,5
Dan Dickau,G,6-0,190,24.0,0
Glenn Robinson,F,6-7,230,30.0,8
Ira Newble,F,6-7,220,28.0,2
Emanual Davis,G,6-5,195,34.0,5
Mario Bennett,C-F,6-9,235,29.0,4
Jason Terry,G,6-2,180,25.0,3
Theo Ratliff,C-F,6-10,230,30.0,7
Alan Henderson,F-C,6-9,240,30.0,7
Paul Shirley,F,6-10,230,25.0,0
