Victor Alexander,C,6-9,265,23.0,1
Jud Buechler,F,6-6,220,25.0,2
Joe Courtney,F,6-8,235,23.0,0
Pat Durham,F,6-7,210,26.0,0
Chris Gatling,F,6-10,220,25.0,1
Jeff Grayer,G,6-5,200,27.0,4
Tim Hardaway,G,6-0,195,26.0,3
Sean Higgins,F,6-9,205,24.0,2
Tyrone Hill,F-C,6-9,250,25.0,2
Byron Houston,F,6-5,250,23.0,0
Keith Jennings,G,5-7,160,24.0,0
Alton Lister,C,7-0,240,34.0,11
Sarunas Marciulionis,G,6-5,200,29.0,3
Chris Mullin,F,6-6,200,29.0,7
Billy Owens,F,6-8,220,24.0,1
Paul Pressey,G,6-5,185,34.0,10
Andre Spencer,F,6-6,210,28.0,0
Latrell Sprewell,G,6-5,195,22.0,0
Barry Stevens,G,6-5,195,30.0,0
