Carlos Boozer,F-C,6-9,280,21.0,0
Dajuan Wagner,G,6-3,200,20.0,0
Chris Mihm,F-C,7-0,265,23.0,2
Nick Anderson,F-G,6-6,228,35.0,13
Vonteego Cummings,G,6-3,190,27.0,3
Anthony Johnson,G,6-3,190,28.0,5
Milt Palacio,G,6-3,195,25.0,3
Zydrunas Ilgauskas,C,7-3,260,28.0,4
Bimbo Coles,G,6-2,182,35.0,12
Michael Stewart,C,6-10,230,28.0,5
Smush Parker,G,6-4,180,22.0,0
Darius Miles,F-G,6-9,210,21.0,2
Matt Barnes,F,6-7,235,23.0,0
Ricky Davis,F,6-7,197,23.0,4
Tyrone Hill,F,6-9,250,35.0,12
Jumaine Jones,C,6-8,218,24.0,3
Harold Jamison,F,6-9,269,26.0,2
DeSagana Diop,C,7-0,300,21.0,1
