Al-Farouq Aminu,F,6-9,215,23.0,3
Tyreke Evans,F-G,6-6,220,24.0,4
Darius Miller,F,6-8,225,24.0,1
Anthony Morrow,G,6-5,210,28.0,5
Melvin Ely,C-F,6-10,260,36.0,8
Jeff Withey,C,7-0,235,24.0,0
Luke Babbitt,F,6-9,225,25.0,3
Eric Gordon,G,6-4,215,25.0,5
Jrue Holiday,G,6-4,205,24.0,4
Jason Smith,C-F,7-0,240,28.0,5
Brian Roberts,G,6-1,173,28.0,1
Anthony Davis,F-C,6-10,220,21.0,1
Austin Rivers,G,6-4,200,21.0,1
James Southerland,F,6-8,215,24.0,0
Ryan Anderson,F,6-10,240,26.0,5
Alexis Ajinca,C,7-2,248,26.0,3
