Travis Best,G,5-11,184,30.0,7
LaPhonso Ellis,F,6-8,240,33.0,10
Caron Butler,F,6-7,217,23.0,0
Eddie House,G,6-1,180,25.0,2
Eddie Jones,G,6-6,210,31.0,8
Mike James,G,6-2,190,28.0,1
Khalid El-Amin,G,5-10,200,24.0,1
Sean Lampley,F,6-7,227,23.0,0
Sean Marks,C-F,6-10,250,27.0,3
Anthony Carter,G,6-2,195,28.0,3
Alonzo Mourning,C,6-10,261,33.0,10
Malik Allen,F,6-10,255,25.0,1
Brian Grant,F,6-9,254,31.0,8
Rasual Butler,F,6-7,205,24.0,0
Vladimir Stepania,C,7-1,255,27.0,4
Ernest Brown,C,7-0,244,24.0,1
Ken Johnson,C-F,6-10,240,25.0,0
