B.J. Armstrong,G,6-2,175,25.0,3
Ricky Blanton,F,6-7,215,27.0,0
Bill Cartwright,C,7-1,245,35.0,12
Jojo English,G,6-4,195,23.0,0
Horace Grant,F-C,6-10,245,27.0,5
Michael Jordan,G,6-6,195,30.0,8
Stacey King,C,6-11,230,26.0,3
Rodney McCray,F,6-8,220,31.0,9
Ed Nealy,F,6-7,238,33.0,9
John Paxson,G,6-2,185,32.0,9
Will Perdue,C,7-0,240,27.0,4
Scottie Pippen,F-G,6-8,228,27.0,5
Trent Tucker,G,6-5,193,33.0,10
Darrell Walker,G,6-4,180,32.0,9
Corey Williams,G,6-3,190,16.0,0
Scott Williams,F-C,6-10,260,25.0,2
