Gary Alexander,F,6-7,240,24.0,0
John Battle,G,6-2,175,31.0,8
Terrell Brandon,G,5-11,180,24.0,2
Brad Daugherty,C,7-0,245,28.0,7
Danny Ferry,F,6-10,235,27.0,3
Jay Guidinger,C,6-10,255,24.0,1
Rod Higgins,F,6-7,200,34.0,11
Tyrone Hill,F-C,6-9,250,26.0,3
Tim Kempton,C,6-10,245,30.0,4
Gerald Madkins,G,6-4,200,25.0,0
Chris Mills,G-F,6-7,220,24.0,0
Larry Nance,F,6-10,205,35.0,12
Bobby Phills,G,6-5,210,24.0,2
Mark Price,G,6-0,170,30.0,7
Sedric Toney,G,6-2,178,32.0,4
Gerald Wilkins,G,6-6,185,30.0,8
Hot Rod Williams,F,6-11,215,31.0,7
