Chris Childs,G,6-3,195,35.0,8
Brandon Armstrong,G,6-5,185,23.0,1
Jason Kidd,G,6-4,212,30.0,8
Kenyon Martin,F,6-9,234,25.0,2
Tamar Slay,G,6-8,215,23.0,0
Lucious Harris,G,6-5,205,32.0,9
Donny Marshall,F,6-7,230,30.0,4
Jamie Feick,F,6-8,255,28.0,5
John Celestand,G,6-3,190,26.0,1
Brian Scalabrine,F,6-9,240,25.0,1
Richard Jefferson,F,6-7,222,23.0,1
Kerry Kittles,G,6-5,180,29.0,5
Aaron Williams,C-F,6-9,240,31.0,8
Jason Collins,C,7-0,260,24.0,1
Rodney Rogers,F,6-7,255,32.0,9
Dikembe Mutombo,C,7-2,265,37.0,11
