Victor Alexander,C,6-9,265,22.0,0
Vincent Askew,G,6-6,210,26.0,2
Kenny Battle,G,6-6,210,27.0,2
Jud Buechler,F,6-6,220,24.0,1
Mario Elie,F,6-5,210,28.0,1
Chris Gatling,F,6-10,220,24.0,0
Tim Hardaway,G,6-0,195,25.0,2
Rod Higgins,F,6-7,200,32.0,9
Tyrone Hill,F-C,6-9,250,24.0,1
Jaren Jackson,G,6-4,190,24.0,1
Alton Lister,C,7-0,240,33.0,10
Sarunas Marciulionis,G,6-5,200,28.0,2
Tony Massenburg,F-C,6-9,250,24.0,1
Chris Mullin,F,6-6,200,28.0,6
Billy Owens,F,6-8,220,23.0,0
Jim Petersen,F,6-10,235,30.0,7
Mike Smrek,C,7-0,250,29.0,6
Billy Thompson,F,6-7,195,28.0,5
Tom Tolbert,F,6-7,235,26.0,3
