Maurice Evans,G,6-5,220,24.0,1
Loren Woods,C,7-1,246,25.0,1
Terrell Brandon,G,5-11,173,33.0,11
Rasho Nesterovic,C,7-0,248,27.0,4
Kendall Gill,G,6-5,215,35.0,12
Wally Szczerbiak,G-F,6-7,244,26.0,3
Randy Livingston,G,6-4,209,28.0,6
Felipe Lopez,G-F,6-5,195,28.0,4
Troy Hudson,G,6-1,170,27.0,5
Gary Trent,F,6-8,250,28.0,7
Kevin Garnett,F,6-11,220,27.0,7
Marc Jackson,F-C,6-10,270,28.0,2
Joe Smith,F,6-10,225,27.0,7
Reggie Slater,F,6-7,255,32.0,7
Igor Rakocevic,G,6-2,184,25.0,0
Anthony Peeler,G,6-4,208,33.0,10
