Wayne Ellington,G,6-4,200,26.0,4
Samuel Dalembert,C,6-11,250,33.0,11
Jose Calderon,G,6-3,211,32.0,8
Shane Larkin,G,5-11,176,21.0,0
Lamar Odom,F,6-10,230,34.0,14
Amar'e Stoudemire,F-C,6-11,245,31.0,11
Kenyon Martin,F,6-9,225,36.0,13
Jeremy Tyler,F,6-10,250,23.0,2
Tim Hardaway Jr.,G,6-6,205,22.0,0
Carmelo Anthony,F,6-8,235,30.0,10
J.R. Smith,G-F,6-6,220,28.0,9
Pablo Prigioni,G,6-3,185,37.0,1
Iman Shumpert,G-F,6-5,220,24.0,2
Toure Murry,G,6-5,195,24.0,0
Shannon Brown,G,6-4,210,28.0,7
Cole Aldrich,C,6-11,245,25.0,3
Andrea Bargnani,C-F,7-0,250,28.0,7
