Mahmoud Abdul-Rauf,G,6-1,162,22.0,0
Michael Adams,G,5-10,162,28.0,5
Greg Anderson,F,6-10,230,27.0,3
Kenny Battle,G,6-6,210,26.0,1
Anthony Cook,F,6-9,205,24.0,0
T.R. Dunn,G,6-4,192,36.0,13
Jim Farmer,F,6-4,190,26.0,3
Corey Gaines,G,6-3,195,26.0,2
Jerome Lane,F,6-6,230,24.0,2
Tim Legler,G,6-4,200,24.0,1
Marcus Liberty,F,6-8,205,22.0,0
Todd Lichti,G,6-4,205,24.0,1
Anthony Mason,F,6-8,270,24.0,1
Craig Neal,G,6-5,165,27.0,1
Blair Rasmussen,F,6-4,172,28.0,5
Reggie Williams,F,6-7,190,27.0,3
Joe Wolf,C,6-11,230,26.0,3
Orlando Woolridge,F,6-9,215,31.0,9
