W,DEC 18, 1990,1990-91,Regular Season,00,LAL @ NYK,37,74,3,7,23,28,None,None,17,5,2,15,21,100,13,14,11,2,79,219,27
L,NOV 11, 1990,1990-91,Regular Season,00,LAL vs. NYK,39,87,3,9,22,26,14,27,20,6,5,12,15,103,13,14,11,2,79,219,27
W,MAR 10, 1992,1991-92,Regular Season,00,LAL @ NYK,40,73,3,4,23,24,10,21,17,7,3,14,22,106,24,26,22,5,78,213,26
W,FEB 26, 1992,1991-92,Regular Season,00,LAL vs. NYK,32,69,4,9,13,19,7,35,22,9,5,18,12,81,24,26,22,5,78,213,26
L,MAR 26, 1993,1992-93,Regular Season,00,LAL vs. NYK,35,81,4,12,21,24,11,27,22,7,6,14,30,95,17,24,15,14,79,220,26
L,MAR 10, 1993,1992-93,Regular Season,00,LAL @ NYK,35,82,6,18,28,41,11,32,23,10,1,16,25,104,17,24,15,14,79,220,26
L,DEC 16, 1993,1993-94,Regular Season,00,LAL @ NYK,33,89,2,9,17,23,13,31,20,11,2,15,24,85,17,17,16,19,79,219,27
L,DEC 07, 1993,1993-94,Regular Season,00,LAL vs. NYK,27,72,2,8,22,37,11,26,20,8,8,19,19,78,17,17,16,19,79,219,27
L,NOV 16, 1994,1994-95,Regular Season,00,LAL vs. NYK,35,95,2,11,17,28,21,23,21,16,10,16,22,89,7,8,5,21,79,210,26
L,NOV 08, 1994,1994-95,Regular Season,00,LAL @ NYK,37,101,6,16,33,42,26,25,21,13,1,13,30,113,7,8,5,21,79,210,26
W,FEB 26, 1996,1995-96,Regular Season,00,LAL vs. NYK,48,85,7,16,11,13,10,35,38,9,4,14,18,114,7,18,2,13,79,220,26
L,DEC 12, 1995,1995-96,Regular Season,00,LAL @ NYK,34,90,4,16,10,17,13,30,16,6,4,10,23,82,7,18,2,13,79,220,26
L,FEB 23, 1997,1996-97,Regular Season,00,LAL vs. NYK,42,99,8,23,29,36,14,34,29,13,11,17,28,121,8,5,11,12,79,227,25
W,NOV 05, 1996,1996-97,Regular Season,00,LAL @ NYK,32,64,6,13,28,36,10,29,21,6,9,17,1,98,8,5,11,12,79,227,25
L,MAR 01, 1998,1997-98,Regular Season,00,LAL @ NYK,30,73,4,14,25,34,11,27,14,5,2,16,28,89,1,5,4,20,79,231,25
W,NOV 07, 1997,1997-98,Regular Season,00,LAL vs. NYK,31,75,2,14,35,47,13,33,19,12,6,14,22,99,1,5,4,20,79,231,25
W,MAR 28, 1999,1998-99,Regular Season,00,LAL vs. NYK,36,74,4,6,23,39,12,32,24,8,5,11,24,99,2,13,7,25,79,231,26
