61.0,64.0,64.0,59.0,70.0,47.0,64.0,54.0,68.0,67.0,62.0,68.0
64.0,64.0,59.0,70.0,47.0,59.0,54.0,68.0,67.0,62.0,68.0,53.0
64.0,59.0,70.0,47.0,59.0,60.0,68.0,67.0,62.0,68.0,53.0,66.0
59.0,70.0,47.0,59.0,60.0,49.0,67.0,62.0,68.0,53.0,66.0,62.0
70.0,47.0,59.0,60.0,49.0,45.0,62.0,68.0,53.0,66.0,62.0,77.0
47.0,59.0,60.0,49.0,45.0,69.0,68.0,53.0,66.0,62.0,77.0,73.0
59.0,60.0,49.0,45.0,69.0,63.0,53.0,66.0,62.0,77.0,73.0,61.0
60.0,49.0,45.0,69.0,63.0,66.0,66.0,62.0,77.0,73.0,61.0,55.0
49.0,45.0,69.0,63.0,66.0,61.0,62.0,77.0,73.0,61.0,55.0,64.0
45.0,69.0,63.0,66.0,61.0,55.0,77.0,73.0,61.0,55.0,64.0,57.0
69.0,63.0,66.0,61.0,55.0,57.0,73.0,61.0,55.0,64.0,57.0,60.0
63.0,66.0,61.0,55.0,57.0,55.0,61.0,55.0,64.0,57.0,60.0,68.0
66.0,61.0,55.0,57.0,55.0,64.0,55.0,64.0,57.0,60.0,68.0,58.0
61.0,55.0,57.0,55.0,64.0,79.0,64.0,57.0,60.0,68.0,58.0,77.0
55.0,57.0,55.0,64.0,79.0,55.0,57.0,60.0,68.0,58.0,77.0,62.0
57.0,55.0,64.0,79.0,55.0,54.0,60.0,68.0,58.0,77.0,62.0,68.0
55.0,64.0,79.0,55.0,54.0,61.0,68.0,58.0,77.0,62.0,68.0,49.0
64.0,79.0,55.0,54.0,61.0,61.0,58.0,77.0,62.0,68.0,49.0,59.0
79.0,55.0,54.0,61.0,61.0,63.0,77.0,62.0,68.0,49.0,59.0,52.0
55.0,54.0,61.0,61.0,63.0,69.0,62.0,68.0,49.0,59.0,52.0,59.0
54.0,61.0,61.0,63.0,69.0,57.0,68.0,49.0,59.0,52.0,59.0,66.0
61.0,61.0,63.0,69.0,57.0,66.0,49.0,59.0,52.0,59.0,66.0,74.0
61.0,63.0,69.0,57.0,66.0,59.0,59.0,52.0,59.0,66.0,74.0,48.0
63.0,69.0,57.0,66.0,59.0,59.0,52.0,59.0,66.0,74.0,48.0,60.0
69.0,57.0,66.0,59.0,59.0,60.0,59.0,66.0,74.0,48.0,60.0,64.0
57.0,66.0,59.0,59.0,60.0,55.0,66.0,74.0,48.0,60.0,64.0,66.0
66.0,59.0,59.0,60.0,55.0,64.0,74.0,48.0,60.0,64.0,66.0,65.0
59.0,59.0,60.0,55.0,64.0,51.0,48.0,60.0,64.0,66.0,65.0,62.0
59.0,60.0,55.0,64.0,51.0,49.0,60.0,64.0,66.0,65.0,62.0,49.0
60.0,55.0,64.0,51.0,49.0,65.0,64.0,66.0,65.0,62.0,49.0,69.0
55.0,64.0,51.0,49.0,65.0,60.0,66.0,65.0,62.0,49.0,69.0,54.0
64.0,51.0,49.0,65.0,60.0,68.0,65.0,62.0,49.0,69.0,54.0,66.0
51.0,49.0,65.0,60.0,68.0,57.0,62.0,49.0,69.0,54.0,66.0,57.0
49.0,65.0,60.0,68.0,57.0,55.0,49.0,69.0,54.0,66.0,57.0,65.0
65.0,60.0,68.0,57.0,55.0,65.0,69.0,54.0,66.0,57.0,65.0,66.0
60.0,68.0,57.0,55.0,65.0,64.0,54.0,66.0,57.0,65.0,66.0,69.0
68.0,57.0,55.0,65.0,64.0,54.0,66.0,57.0,65.0,66.0,69.0,59.0
57.0,55.0,65.0,64.0,54.0,73.0,57.0,65.0,66.0,69.0,59.0,69.0
