0,20,13,30,27,7,7,9,15,78,233,25,80,232,25,0,40.0,89.0,2.0,9.0,10.0,16.0,19.0,19.0,29.0,14.0,7.0,9.0,9.0,18.0,92.0,-5.0,1,38.0,85.0,2.0,12.0,19.0,25.0,16.0,28.0,21.0,15.0,7.0,9.0,9.0,22.0,97.0,5.0
1,16,5,28,20,5,11,6,25,79,235,25,79,227,25,1,37.0,75.0,5.0,13.0,20.0,26.0,14.0,34.0,15.0,21.0,6.0,3.0,3.0,16.0,99.0,5.0,0,37.0,85.0,10.0,26.0,10.0,17.0,14.0,19.0,18.0,11.0,9.0,3.0,3.0,20.0,94.0,-5.0
1,16,5,28,20,5,11,6,25,79,235,25,79,227,25,0,39.0,78.0,6.0,20.0,23.0,32.0,13.0,28.0,22.0,11.0,4.0,3.0,3.0,21.0,107.0,1.0,1,37.0,87.0,11.0,27.0,21.0,24.0,17.0,23.0,27.0,15.0,6.0,3.0,3.0,29.0,106.0,-1.0
0,21,10,30,22,4,4,4,19,79,234,25,80,230,25,1,30.0,76.0,3.0,19.0,27.0,38.0,17.0,35.0,7.0,17.0,2.0,0.0,5.0,22.0,90.0,-5.0,0,37.0,85.0,8.0,26.0,13.0,20.0,8.0,30.0,18.0,8.0,9.0,5.0,0.0,27.0,95.0,5.0
0,21,10,30,22,4,4,4,19,79,234,25,80,230,25,0,40.0,90.0,9.0,14.0,20.0,23.0,14.0,31.0,23.0,11.0,8.0,3.0,13.0,26.0,109.0,-11.0,1,43.0,85.0,11.0,27.0,23.0,33.0,15.0,33.0,30.0,13.0,4.0,13.0,3.0,18.0,120.0,11.0
0,4,8,11,28,3,1,2,13,79,225,24,79,223,25,1,41.0,93.0,7.0,27.0,28.0,33.0,14.0,27.0,21.0,13.0,8.0,1.0,8.0,29.0,117.0,-9.0,0,44.0,84.0,7.0,16.0,31.0,36.0,13.0,39.0,25.0,16.0,6.0,8.0,1.0,23.0,126.0,9.0
0,4,8,11,28,3,1,2,13,79,225,24,79,223,25,0,37.0,81.0,13.0,31.0,27.0,28.0,8.0,30.0,28.0,14.0,6.0,3.0,5.0,20.0,114.0,-2.0,1,45.0,95.0,6.0,23.0,20.0,25.0,15.0,34.0,30.0,11.0,9.0,5.0,3.0,17.0,116.0,2.0
0,9,23,13,28,12,2,15,9,78,223,25,79,228,26,1,41.0,91.0,6.0,22.0,17.0,21.0,13.0,29.0,23.0,8.0,2.0,2.0,7.0,24.0,105.0,-10.0,0,39.0,78.0,12.0,23.0,25.0,31.0,8.0,32.0,23.0,9.0,2.0,7.0,2.0,18.0,115.0,10.0
0,9,23,13,28,12,2,15,9,78,223,25,79,228,26,0,35.0,90.0,11.0,33.0,9.0,12.0,9.0,27.0,25.0,14.0,13.0,6.0,3.0,23.0,90.0,-10.0,1,40.0,86.0,5.0,21.0,15.0,18.0,15.0,45.0,25.0,25.0,6.0,3.0,6.0,12.0,100.0,10.0
0,2,20,15,28,9,3,13,8,78,218,26,79,230,28,1,35.0,85.0,5.0,20.0,21.0,24.0,13.0,31.0,22.0,18.0,9.0,2.0,3.0,22.0,96.0,-17.0,0,45.0,84.0,6.0,15.0,17.0,25.0,7.0,34.0,22.0,14.0,9.0,3.0,2.0,17.0,113.0,17.0
0,2,20,15,28,9,3,13,8,78,218,26,79,230,28,0,31.0,86.0,8.0,25.0,17.0,25.0,7.0,35.0,21.0,14.0,9.0,11.0,6.0,24.0,87.0,-22.0,1,38.0,91.0,8.0,17.0,25.0,31.0,17.0,44.0,22.0,13.0,8.0,6.0,11.0,16.0,109.0,22.0
1,11,18,18,11,15,2,7,15,79,227,26,79,223,26,1,33.0,77.0,5.0,21.0,21.0,34.0,8.0,33.0,16.0,14.0,9.0,1.0,5.0,17.0,92.0,7.0,0,30.0,80.0,6.0,24.0,19.0,23.0,12.0,36.0,13.0,17.0,6.0,5.0,1.0,29.0,85.0,-7.0
0,11,18,18,11,15,2,7,15,79,227,26,79,223,26,0,21.0,67.0,6.0,22.0,34.0,41.0,9.0,23.0,15.0,13.0,11.0,6.0,7.0,20.0,82.0,-17.0,1,38.0,73.0,9.0,16.0,14.0,22.0,6.0,34.0,23.0,17.0,6.0,7.0,6.0,28.0,99.0,17.0
1,11,26,30,7,6,4,17,22,79,225,30,78,219,27,1,42.0,79.0,12.0,25.0,20.0,30.0,4.0,29.0,25.0,6.0,10.0,2.0,4.0,20.0,116.0,9.0,0,35.0,84.0,12.0,37.0,25.0,29.0,12.0,32.0,13.0,14.0,4.0,4.0,2.0,21.0,107.0,-9.0
0,11,26,30,7,6,4,17,22,79,225,30,78,219,27,0,38.0,89.0,9.0,26.0,9.0,16.0,11.0,29.0,20.0,11.0,9.0,3.0,4.0,25.0,94.0,-6.0,1,37.0,77.0,5.0,21.0,21.0,31.0,8.0,34.0,22.0,12.0,4.0,4.0,3.0,17.0,100.0,6.0
1,20,27,28,8,11,25,4,29,78,220,27,79,216,26,1,43.0,90.0,11.0,26.0,13.0,18.0,16.0,29.0,21.0,11.0,4.0,6.0,3.0,19.0,110.0,7.0,0,39.0,75.0,11.0,23.0,14.0,18.0,5.0,30.0,16.0,12.0,6.0,3.0,6.0,20.0,103.0,-7.0
0,20,27,28,8,11,25,4,29,78,220,27,79,216,26,0,36.0,74.0,4.0,15.0,20.0,27.0,8.0,24.0,23.0,16.0,9.0,4.0,2.0,16.0,96.0,-31.0,1,48.0,83.0,18.0,28.0,13.0,15.0,8.0,30.0,32.0,17.0,10.0,2.0,4.0,23.0,127.0,31.0
